fitness,lr0,lrf,weight_decay,cls,box,dfl,scale,degrees,shear,fliplr
0.12967,0.0009,0.01808,0.00018,0.61067,0.11239,0.61217,0.0992,0.0,0.0,0.32754
0.11768,0.0009,0.01808,0.00018,0.60982,0.11196,0.61217,0.09918,0.0,0.0,0.32821
0.11233,0.00099,0.01895,0.00016,0.57851,0.11239,0.69902,0.09395,0.0,0.0,0.32754
0.13712,0.0009,0.01958,0.00016,0.61998,0.11372,0.63425,0.09631,0.0,0.0,0.24442
0.13074,0.00067,0.0237,0.00018,0.75302,0.12715,0.5,0.09631,0.0,0.0,0.22184
0.14935,0.00085,0.02137,0.00013,0.5704,0.12125,0.68525,0.11009,0.0,0.0,0.23165
0.13278,0.00071,0.01988,0.00014,0.62936,0.11331,0.70663,0.09125,0.0,0.0,0.23165
0.1301,0.00076,0.01737,0.00014,0.60116,0.11326,0.59429,0.09634,0.0,0.0,0.24517
0.11951,0.00085,0.02136,0.00013,0.57043,0.12125,0.68553,0.11011,0.0,0.0,0.2317
0.12032,0.00083,0.02046,0.00013,0.58059,0.12126,0.67402,0.11009,0.0,0.0,0.23619
0.10854,0.00107,0.01782,0.00013,0.5704,0.12125,0.62849,0.05232,0.0,0.0,0.20557
0.1452,0.00082,0.01584,0.00016,0.72416,0.11372,0.68951,0.09631,0.0,0.0,0.24442
